
step 0: train loss 4.2874, val loss 4.2823
[2023-05-18 19:30:26,254] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-18 19:30:26,801] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-18 19:30:27,636] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-18 19:30:27,932] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-18 19:30:28,332] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-18 19:30:28,629] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-18 19:30:29,029] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-18 19:30:29,325] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-18 19:30:29,894] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-18 19:30:30,191] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-18 19:30:30,590] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-18 19:30:30,886] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 0: loss 4.2649, time 29992.73ms, mfu -100.00%
iter 10: loss 3.2438, time 109.47ms, mfu 3.40%
iter 20: loss 2.7898, time 109.89ms, mfu 3.40%
iter 30: loss 2.6383, time 110.88ms, mfu 3.40%
iter 40: loss 2.5763, time 110.71ms, mfu 3.40%
iter 50: loss 2.5261, time 110.63ms, mfu 3.39%
iter 60: loss 2.5136, time 110.33ms, mfu 3.39%
iter 70: loss 2.4922, time 110.68ms, mfu 3.39%
iter 80: loss 2.4932, time 110.33ms, mfu 3.39%
iter 90: loss 2.4696, time 111.46ms, mfu 3.38%
iter 100: loss 2.4524, time 109.82ms, mfu 3.38%
iter 110: loss 2.4545, time 110.19ms, mfu 3.38%
iter 120: loss 2.4226, time 111.09ms, mfu 3.38%
iter 130: loss 2.4059, time 110.50ms, mfu 3.38%
iter 140: loss 2.3932, time 110.97ms, mfu 3.38%
iter 150: loss 2.4086, time 114.22ms, mfu 3.37%
iter 160: loss 2.3653, time 110.63ms, mfu 3.37%
iter 170: loss 2.3319, time 111.03ms, mfu 3.37%
iter 180: loss 2.3027, time 109.77ms, mfu 3.37%
iter 190: loss 2.2395, time 111.45ms, mfu 3.37%
iter 200: loss 2.2080, time 110.26ms, mfu 3.37%
iter 210: loss 2.1239, time 111.88ms, mfu 3.36%
iter 220: loss 2.1337, time 112.21ms, mfu 3.36%
iter 230: loss 2.0726, time 112.01ms, mfu 3.36%
iter 240: loss 2.0728, time 112.00ms, mfu 3.35%
