
step 0: train loss 3.1695, val loss 3.1715
[2023-05-22 20:44:17,065] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-22 20:44:17,372] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-22 20:44:17,813] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-22 20:44:18,106] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-22 20:44:18,505] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-22 20:44:18,801] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-22 20:44:19,334] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-22 20:44:19,627] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-22 20:44:20,021] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-22 20:44:20,316] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-22 20:44:20,717] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
[2023-05-22 20:44:21,013] torch._inductor.utils: [WARNING] using triton random, expect difference from eager
iter 0: loss 3.1611, time 22314.16ms, mfu -100.00%
iter 10: loss 2.1882, time 109.51ms, mfu 3.40%
iter 20: loss 2.0300, time 110.42ms, mfu 3.40%
iter 30: loss 1.9699, time 111.87ms, mfu 3.39%
iter 40: loss 1.9432, time 108.73ms, mfu 3.39%
iter 50: loss 1.9252, time 108.52ms, mfu 3.40%
iter 60: loss 1.8629, time 108.40ms, mfu 3.40%
iter 70: loss 1.8291, time 111.26ms, mfu 3.39%
iter 80: loss 1.7850, time 110.54ms, mfu 3.39%
iter 90: loss 1.7428, time 110.59ms, mfu 3.39%
iter 100: loss 1.7301, time 111.06ms, mfu 3.38%
iter 110: loss 1.6468, time 112.00ms, mfu 3.38%
iter 120: loss 1.6112, time 112.01ms, mfu 3.37%
iter 130: loss 1.5903, time 110.49ms, mfu 3.37%
iter 140: loss 1.5329, time 109.89ms, mfu 3.37%
iter 150: loss 1.5376, time 109.66ms, mfu 3.38%
iter 160: loss 1.5095, time 110.57ms, mfu 3.37%
iter 170: loss 1.4616, time 110.95ms, mfu 3.37%
iter 180: loss 1.4712, time 108.58ms, mfu 3.38%
iter 190: loss 1.4234, time 111.16ms, mfu 3.37%
iter 200: loss 1.3987, time 108.87ms, mfu 3.38%
iter 210: loss 1.3998, time 111.64ms, mfu 3.37%
iter 220: loss 1.3865, time 111.87ms, mfu 3.37%
iter 230: loss 1.3954, time 112.58ms, mfu 3.36%
iter 240: loss 1.3625, time 111.52ms, mfu 3.36%
step 250: train loss 1.3397, val loss 1.3413
saving checkpoint to out-nd-accel
iter 250: loss 1.3647, time 13982.25ms, mfu 3.03%
iter 260: loss 1.3192, time 113.85ms, mfu 3.05%
iter 270: loss 1.3271, time 111.55ms, mfu 3.08%
iter 280: loss 1.2969, time 111.75ms, mfu 3.10%
iter 290: loss 1.2997, time 111.19ms, mfu 3.13%
iter 300: loss 1.3024, time 111.48ms, mfu 3.15%
